[DEBUG] 2020-12-01 13:05:42.890 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-01 13:05:42.910 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-01 13:05:42.926 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-01 13:05:43.170 [http-nio-8080-exec-2] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-01 13:05:43.177 [http-nio-8080-exec-2] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-01 13:05:43.519 [http-nio-8080-exec-2] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-01 13:05:44.237 [http-nio-8080-exec-2] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-01 13:05:44.284 [http-nio-8080-exec-2] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-01 13:05:44.289 [http-nio-8080-exec-2] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-01 13:05:44.357 [http-nio-8080-exec-2] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-01 13:05:44.474 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@16e9fcfe
[DEBUG] 2020-12-01 13:05:44.474 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@16e9fcfe
[DEBUG] 2020-12-01 13:05:44.475 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@16e9fcfe
[DEBUG] 2020-12-01 13:05:44.475 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@678aa57c
[DEBUG] 2020-12-01 13:05:44.476 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5a3f515e
[DEBUG] 2020-12-01 13:05:44.476 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@363828cc
[DEBUG] 2020-12-01 13:05:44.477 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@402336ad
[DEBUG] 2020-12-01 13:05:44.477 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@402336ad
[DEBUG] 2020-12-01 13:05:44.480 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@402336ad
[DEBUG] 2020-12-01 13:05:44.483 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@261cd5db
[DEBUG] 2020-12-01 13:05:44.483 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@261cd5db
[DEBUG] 2020-12-01 13:05:44.483 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@261cd5db
[DEBUG] 2020-12-01 13:05:44.490 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@b8871f5
[DEBUG] 2020-12-01 13:05:44.495 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@b8871f5
[DEBUG] 2020-12-01 13:05:44.495 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@b8871f5
[DEBUG] 2020-12-01 13:05:44.497 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@2bc51aac
[DEBUG] 2020-12-01 13:05:44.497 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@2bc51aac
[DEBUG] 2020-12-01 13:05:44.497 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2bc51aac
[DEBUG] 2020-12-01 13:05:44.498 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7799e095
[DEBUG] 2020-12-01 13:05:44.498 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7799e095
[DEBUG] 2020-12-01 13:05:44.498 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7799e095
[DEBUG] 2020-12-01 13:05:44.500 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@431bfe42
[DEBUG] 2020-12-01 13:05:44.504 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@431bfe42
[DEBUG] 2020-12-01 13:05:44.504 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@431bfe42
[DEBUG] 2020-12-01 13:05:44.506 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3dd2eba5
[DEBUG] 2020-12-01 13:05:44.506 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3dd2eba5
[DEBUG] 2020-12-01 13:05:44.506 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3dd2eba5
[DEBUG] 2020-12-01 13:05:44.507 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@330b78e2
[DEBUG] 2020-12-01 13:05:44.507 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@330b78e2
[DEBUG] 2020-12-01 13:05:44.515 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@109f5b0f
[DEBUG] 2020-12-01 13:05:44.515 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@109f5b0f
[DEBUG] 2020-12-01 13:05:44.518 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@7ed5142a
[DEBUG] 2020-12-01 13:05:44.519 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@7ed5142a
[DEBUG] 2020-12-01 13:05:44.519 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3042795c
[DEBUG] 2020-12-01 13:05:44.520 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7bfd2a9a
[DEBUG] 2020-12-01 13:05:44.527 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@59aa3c10
[DEBUG] 2020-12-01 13:05:44.527 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@59aa3c10
[DEBUG] 2020-12-01 13:05:44.528 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3838a3d5
[DEBUG] 2020-12-01 13:05:44.528 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3838a3d5
